#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.14668,      95232,          0,          0, (null)
   0.14681,      96256,          0,          0, (null)
   0.14693,      97280,          0,          0, (null)
   0.14706,      98304,          0,          0, (null)
   0.14718,      99328,          0,          0, (null)
   0.14731,     100352,          0,          0, (null)
   0.14743,     101376,          0,          0, (null)
   0.14758,     102400,          0,          0, (null)
   0.14770,     103424,          0,          0, (null)
   0.14786,     104448,          0,          0, (null)
   0.14798,     105472,          0,          0, (null)
   0.14811,     106496,          0,          0, (null)
   0.14825,     107520,          0,          0, (null)
   0.14837,     108544,          0,          0, (null)
   0.14850,     109568,          0,          0, (null)
   0.14862,     110592,          0,          0, (null)
   0.14875,     111616,          0,          0, (null)
   0.14888,     112640,          0,          0, (null)
   0.14903,     113664,          0,          0, (null)
   0.14916,     114688,          0,          0, (null)
   0.14929,     115712,          0,          0, (null)
   0.14941,     116736,          0,          0, (null)
   0.14954,     117760,          0,          0, (null)
   0.14966,     118784,          0,          0, (null)
   0.14979,     119808,          0,          0, (null)
   0.14991,     120832,          0,          0, (null)
   0.15004,     121856,          0,          0, (null)
   0.15021,     122880,          0,          0, (null)
   0.15029,     123904,          0,          0, (null)
   0.15037,     124928,          0,          0, (null)
   0.15045,     125952,          0,          0, (null)
   0.15052,     126976,          0,          0, (null)
   0.15060,     128000,          0,          0, (null)
   0.15068,     129024,          0,          0, (null)
   0.15076,     130048,          0,          0, (null)
   0.15083,     131072,          0,          0, (null)
   0.15091,     132096,          0,          0, (null)
   0.15099,     133120,          0,          0, (null)
   0.15106,     134144,          0,          0, (null)
   0.15114,     135168,          0,          0, (null)
   0.15122,     136192,          0,          0, (null)
   0.15129,     137216,          0,          0, (null)
   0.15141,     138240,          0,          0, (null)
   0.15149,     139264,          0,          0, (null)
   0.15157,     140288,          0,          0, (null)
   0.15164,     141312,          0,          0, (null)
   0.15172,     142336,          0,          0, (null)
   0.15179,     143360,          0,          0, (null)
   0.15187,     144384,          0,          0, (null)
   0.15195,     145408,          0,          0, (null)
   0.15202,     146432,          0,          0, (null)
   0.15210,     147456,          0,          0, (null)
   0.15218,     148480,          0,          0, (null)
   0.15225,     149504,          0,          0, (null)
   0.15233,     150528,          0,          0, (null)
   0.15240,     151552,          0,          0, (null)
   0.15248,     152576,          0,          0, (null)
   0.15259,     153600,          0,          0, (null)
   0.15267,     154624,          0,          0, (null)
   0.15274,     155648,          0,          0, (null)
   0.15282,     156672,          0,          0, (null)
   0.15290,     157696,          0,          0, (null)
   0.15297,     158720,          0,          0, (null)
   0.15305,     159744,          0,          0, (null)
   0.15313,     160768,          0,          0, (null)
   0.15321,     161792,          0,          0, (null)
   0.15329,     162816,          0,          0, (null)
   0.15336,     163840,          0,          0, (null)
   0.15344,     164864,          0,          0, (null)
   0.15352,     165888,          0,          0, (null)
   0.15360,     166912,          0,          0, (null)
   0.15368,     167936,          0,          0, (null)
   0.15377,     168960,          0,          0, (null)
   0.15385,     169984,          0,          0, (null)
   0.15393,     171008,          0,          0, (null)
   0.15400,     172032,          0,          0, (null)
   0.15408,     173056,          0,          0, (null)
   0.15417,     174080,          0,          0, (null)
   0.15425,     175104,          0,          0, (null)
   0.15433,     176128,          0,          0, (null)
   0.15440,     177152,          0,          0, (null)
   0.15448,     178176,          0,          0, (null)
   0.15456,     179200,          0,          0, (null)
   0.15463,     180224,          0,          0, (null)
   0.15471,     181248,          0,          0, (null)
   0.15479,     182272,          0,          0, (null)
   0.15488,     183296,          0,          0, (null)
   0.15496,     184320,          0,          0, (null)
   0.15504,     185344,          0,          0, (null)
   0.15512,     186368,          0,          0, (null)
   0.15521,     187392,          0,          0, (null)
   0.15530,     189440,          0,          0, (null)
   0.15540,     191488,          0,          0, (null)
   0.15551,     193536,          0,          0, (null)
   0.15561,     195584,          0,          0, (null)
   0.15572,     197632,          0,          0, (null)
